,method,dr,runtime,n1,n2,k,distribution
321,kmeans,True,3.0772647857666016,200,100,100,multipeak
322,affinity,False,0.17607998847961426,200,100,100,multipeak
323,affinity,True,0.1630725860595703,200,100,100,multipeak
324,hierarchical,False,0.1055455207824707,200,100,100,multipeak
325,hierarchical,True,0.0935359001159668,200,100,100,multipeak
326,spectral,False,0.13554096221923828,200,100,100,multipeak
327,spectral,True,0.12755489349365234,200,100,100,multipeak
328,random,False,0.08453845977783203,200,100,100,multipeak
329,random,True,0.0885627269744873,200,100,100,multipeak
330,kmeans,False,3.8684074878692627,200,100,200,multipeak
331,kmeans,True,3.24371337890625,200,100,200,multipeak
332,affinity,False,0.41413187980651855,200,100,200,multipeak
333,affinity,True,0.4092526435852051,200,100,200,multipeak
334,hierarchical,False,0.25658631324768066,200,100,200,multipeak
335,hierarchical,True,0.2437279224395752,200,100,200,multipeak
336,spectral,False,0.30873990058898926,200,100,200,multipeak
337,spectral,True,0.3567054271697998,200,100,200,multipeak
338,random,False,0.2260909080505371,200,100,200,multipeak
339,random,True,0.2547893524169922,200,100,200,multipeak
340,kmeans,False,3.87307071685791,200,100,300,multipeak
341,kmeans,True,3.1268019676208496,200,100,300,multipeak
342,affinity,False,0.8717033863067627,200,100,300,multipeak
343,affinity,True,0.7256643772125244,200,100,300,multipeak
344,hierarchical,False,0.5249414443969727,200,100,300,multipeak
345,hierarchical,True,0.4987146854400635,200,100,300,multipeak
346,spectral,False,0.5848920345306396,200,100,300,multipeak
347,spectral,True,0.6906445026397705,200,100,300,multipeak
348,random,False,0.5060508251190186,200,100,300,multipeak
349,random,True,0.5558657646179199,200,100,300,multipeak
350,kmeans,False,4.552011251449585,200,100,400,multipeak
351,kmeans,True,3.4157614707946777,200,100,400,multipeak
352,affinity,False,1.6664130687713623,200,100,400,multipeak
353,affinity,True,1.47121262550354,200,100,400,multipeak
354,hierarchical,False,1.1050875186920166,200,100,400,multipeak
355,hierarchical,True,1.0306503772735596,200,100,400,multipeak
356,spectral,False,1.2874600887298584,200,100,400,multipeak
357,spectral,True,1.1735928058624268,200,100,400,multipeak
358,random,False,0.79740309715271,200,100,400,multipeak
359,random,True,0.7844879627227783,200,100,400,multipeak
360,kmeans,False,2.7381482124328613,200,150,100,multipeak
361,kmeans,True,2.9269678592681885,200,150,100,multipeak
362,affinity,False,0.26167893409729004,200,150,100,multipeak
363,affinity,True,0.2167348861694336,200,150,100,multipeak
364,hierarchical,False,0.1415543556213379,200,150,100,multipeak
365,hierarchical,True,0.12854576110839844,200,150,100,multipeak
366,spectral,False,0.1590900421142578,200,150,100,multipeak
367,spectral,True,0.15250062942504883,200,150,100,multipeak
368,random,False,0.11262869834899902,200,150,100,multipeak
369,random,True,0.11909365653991699,200,150,100,multipeak
370,kmeans,False,3.505579710006714,200,150,200,multipeak
371,kmeans,True,2.9323534965515137,200,150,200,multipeak
372,affinity,False,0.7167878150939941,200,150,200,multipeak
373,affinity,True,0.7720613479614258,200,150,200,multipeak
374,hierarchical,False,0.4706602096557617,200,150,200,multipeak
375,hierarchical,True,0.4448356628417969,200,150,200,multipeak
376,spectral,False,0.49831652641296387,200,150,200,multipeak
377,spectral,True,0.4796888828277588,200,150,200,multipeak
378,random,False,0.389484167098999,200,150,200,multipeak
379,random,True,0.39308762550354004,200,150,200,multipeak
380,kmeans,False,3.9849836826324463,200,150,300,multipeak
381,kmeans,True,3.24969744682312,200,150,300,multipeak
382,affinity,False,1.502229928970337,200,150,300,multipeak
383,affinity,True,1.488555908203125,200,150,300,multipeak
384,hierarchical,False,1.0139060020446777,200,150,300,multipeak
385,hierarchical,True,0.9278337955474854,200,150,300,multipeak
386,spectral,False,1.0042457580566406,200,150,300,multipeak
387,spectral,True,0.8938877582550049,200,150,300,multipeak
388,random,False,0.690866231918335,200,150,300,multipeak
389,random,True,0.7209873199462891,200,150,300,multipeak
390,kmeans,False,5.108389377593994,200,150,400,multipeak
391,kmeans,True,4.66051721572876,200,150,400,multipeak
392,affinity,False,2.396951913833618,200,150,400,multipeak
393,affinity,True,1.9884867668151855,200,150,400,multipeak
394,hierarchical,False,1.72969651222229,200,150,400,multipeak
395,hierarchical,True,1.607316255569458,200,150,400,multipeak
396,spectral,False,1.8533384799957275,200,150,400,multipeak
